date,time,sender,content
9/14/23,19:32,Taha,Bhj
9/16/23,15:04,Me Germany,Hshs
9/18/23,12:17,Taha,<Media omitted>
10/4/23,12:43,Me Germany,Bvb
10/22/23,14:52,Taha,<Media omitted>
10/25/23,17:57,Me Germany,What you as a future

Assistant you should bring with you:

Enjoy contact with people

Openness and dealing with people on an equal level

restrictions

Thinking and working independently You are of legal age.

Willingness to work shifts by arrangement (it is often possible to arrange working hours with holidays,lecture-free periods or school-free periods)

Depending on the deployment,the willingness to

to undertake light maintenance work. Experience in housekeeping.

Training in the field of nursing is not a requirement.

The remuneration is sometimes above the legal minimum wage.
10/30/23,01:06,Taha,<Media omitted>
10/30/23,01:06,Taha,<Media omitted>
10/30/23,01:06,Taha,<Media omitted>
10/30/23,01:06,Taha,<Media omitted>
10/30/23,01:06,Taha,<Media omitted>
10/31/23,21:40,Taha,Gi
10/31/23,22:11,Taha,Hu
10/31/23,22:28,Me Germany,Hi
10/31/23,22:55,Taha,Hi
11/2/23,15:59,Taha,Hi
11/4/23,15:25,Taha,Hey guys!
I hope you all are doing well. I just wanted to confirm that for the next RCS meeting we are supposed to just present the suitable Optimal Transport functions to use in our project,right? if that's the case,I did some research and landed on two optimal transport functions namely,Sinkhorn,which was used in the research paper that professor provided us,and Greenkhorn. I have also found that we can choose between the two by looking at the data e.g. if the data is noisy,Sinkhorn would be the best choice. There are python libraries already available to implement these functions and other OT functions. 
Here the few confusions I had:
- Do we need to study the implementations of the methods as well provided that there are already python implementations of these? 
- What else can I work on in order to contribute more to the next meeting? 
- Also,I would be happy to hear (only if you wanna share) what you guys are doing so that I don't miss out something for the next RCS meeting :)
11/6/23,13:04,Taha,<Media omitted>
11/6/23,13:48,Me Germany,<Media omitted>
11/6/23,16:24,Taha,<Media omitted>
11/17/23,11:46,Me Germany,<Media omitted>
11/20/23,19:28,Taha,Hi,
I am good. Thank you!

Yes,I also think it's a good idea. Once we have the text,writing in overleaf won't be a big problem I think.

That's great! I will take a look at the intro. Don't worry we are just starting out

I am good with either. I can also do a bit of both,rewriting and finding quotes in the sources.

Yes,I can start with ML approach. 

I think we can start with dataset and leave out the approach for after the next meeting? Because if I think we are not yet sure about the direction we are taking i.e,either comparing OT and cross entropy or just different OT functions. Also,we don't yet know which OT we are using,right?
11/20/23,19:29,Me Germany,https://docs.google.com/document/d/13xQni_4tjAXdiKEbg5A1Uz8G01DagInu_uPmWpc65Sk/edit?usp=sharing
11/20/23,22:50,Taha,<Media omitted>
11/20/23,22:50,Taha,<Media omitted>
11/20/23,22:50,Taha,<Media omitted>
11/22/23,17:17,Taha,<Media omitted>
11/23/23,19:59,Taha,<Media omitted>
11/26/23,15:45,Me Germany,<Media omitted>
11/29/23,19:10,Taha,You deleted this message
12/3/23,00:22,Taha,<Media omitted>
12/3/23,00:26,Taha,<Media omitted>
12/3/23,00:44,Taha,<Media omitted>
12/3/23,00:44,Taha,<Media omitted>
12/3/23,00:44,Taha,<Media omitted>
12/3/23,00:44,Taha,<Media omitted>
12/3/23,00:44,Taha,<Media omitted>
12/3/23,17:54,Taha,<Media omitted>
12/3/23,17:54,Taha,<Media omitted>
12/3/23,17:54,Taha,<Media omitted>
12/3/23,17:54,Taha,<Media omitted>
12/9/23,23:32,Taha,<Media omitted>
12/9/23,23:34,Taha,<Media omitted>
12/17/23,15:42,Me Germany,<Media omitted>
12/25/23,00:14,Me Germany,https://ww22.5movierulz.top/animal-2023-v2-dvdscr-hindi-full-movie-watch-online-free/
12/31/23,16:38,Me Germany,<Media omitted>
1/4/24,22:34,Me Germany,Jdjdj
1/8/24,15:52,Me Germany,https://www.doi2bib.org/
1/10/24,10:02,Taha,<Media omitted>
1/10/24,10:03,Taha,<Media omitted>
1/11/24,20:02,Taha,https://www.citationmachine.net/bibtex/cite-a-website
1/24/24,14:30,Taha,<Media omitted>
1/26/24,21:17,Taha,👁️______________________👁️
1/26/24,21:18,Taha,👁️______________________👁️
1/26/24,21:20,Taha,⇨ ຸ
1/26/24,21:20,Taha,ຸ
1/26/24,21:21,Taha,ຸ
 ຸ
 ຸ
 ຸ
👁️______________________👁️
1/26/24,21:22,Taha,.





.
👁️______________________👁️
1/26/24,21:23,Taha,.




.
⚫______________________⚫
1/26/24,21:24,Taha,.




.
⚫    ________________   ⚫
1/31/24,11:33,Me Germany,<Media omitted>
2/4/24,19:12,Taha,<Media omitted>
2/4/24,19:30,Taha,<Media omitted>
2/5/24,11:19,Taha,<Media omitted>
2/5/24,11:19,Taha,<Media omitted>
2/5/24,11:19,Taha,<Media omitted>
2/5/24,11:19,Taha,<Media omitted>
2/7/24,19:15,Taha,You deleted this message
2/7/24,19:15,Taha,You deleted this message
2/7/24,19:16,Taha,You deleted this message
2/7/24,19:16,Taha,You deleted this message
2/7/24,19:16,Taha,You deleted this message
2/7/24,19:17,Taha,You deleted this message
2/7/24,19:17,Taha,You deleted this message
2/7/24,19:17,Taha,You deleted this message
2/7/24,19:17,Taha,You deleted this message
2/7/24,19:18,Taha,You deleted this message
2/14/24,16:55,Me Germany,<Media omitted>
2/16/24,22:22,Taha,<Media omitted>
2/20/24,16:28,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/25/24,14:57,Taha,<Media omitted>
2/26/24,16:59,Taha,<Media omitted>
3/6/24,00:27,Taha,<Media omitted>
3/6/24,00:27,Taha,<Media omitted>
3/6/24,00:27,Taha,<Media omitted>
3/6/24,00:27,Taha,<Media omitted>
3/7/24,14:29,Taha,Hdjd
3/7/24,14:29,Taha,<Media omitted>
3/7/24,14:29,Taha,<Media omitted>
3/7/24,14:29,Taha,<Media omitted>
3/7/24,14:29,Taha,<Media omitted>
3/7/24,14:29,Taha,<Media omitted>
3/7/24,14:29,Taha,<Media omitted>
3/7/24,14:29,Taha,<Media omitted>
3/7/24,14:29,Taha,<Media omitted>
3/7/24,14:29,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/11/24,08:18,Taha,<Media omitted>
3/12/24,01:12,Taha,<Media omitted>
3/12/24,01:12,Taha,<Media omitted>
3/12/24,01:12,Taha,<Media omitted>
3/12/24,01:12,Taha,<Media omitted>
3/12/24,01:12,Taha,<Media omitted>
3/15/24,01:07,Taha,<Media omitted>
3/15/24,01:07,Taha,<Media omitted>
3/15/24,01:07,Taha,<Media omitted>
3/15/24,01:07,Taha,<Media omitted>
3/15/24,01:07,Taha,<Media omitted>
3/15/24,01:07,Taha,<Media omitted>
3/15/24,01:07,Taha,<Media omitted>
3/15/24,01:07,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:34,Taha,<Media omitted>
3/18/24,02:35,Taha,<Media omitted>
3/18/24,02:35,Taha,<Media omitted>
3/18/24,02:35,Taha,<Media omitted>
3/18/24,19:22,Taha,<Media omitted>
3/19/24,02:12,Taha,Hhjj
3/19/24,02:12,Taha,<Media omitted>
3/19/24,02:12,Taha,<Media omitted>
